Chapter,Question Description,Key,Marks,Difficulty Level
Global world, What exchange did Europe return to Asia in the form of trade?,gold and silver,10,1
Global world,Migrants from ______ went to Ceylon and Malaya.,Tamil Nadu,2,1
Rise of Europe,Which regions was the Civil Code exported to?,Switzerland and Germany,2,3
Rise of Europe,What was the Civil Code of 1804 also known as?,the Napoleonic Code,5,2
Print Culture,Aim of Protestant Reformation was to:,reform the Catholic church,5,1
Print Culture,Why was Hickey persecuted by Governor General Warren Hastings?,For publishing a lot of gossip.,5,3
Nationalism,The resolution of Puma Swaraj was adopted at which session?,Lahore session,10,1
Rise of Europe,What type of rule was carried out in France during Napoleons time?,Monarchy,10,2
Industrialization,Who are the bourgeoisi?,Upper middle class,10,2
Print Culture,____ began to maintain an Index of Prohibited Books from 1558.,Roman Church,2,1
Industrialization,Who set up six joint stock companies in Bengal?,Dwarkanath Tagore,2,1
Nationalism,The main problem with the Simon Commission was that:,It was an all British commission.,10,3
Nationalism,Who were the Sanatanis?,High caste hindus,5,2
Print Culture,___ was a former Roman Catholic court for punishing heretics.,Inquisition,2,2
Industrialization,Name an eminent pre-colonial port.,Surat,2,3
Industrialization,Name the areas that demanded seasonal labour in England.,breweries and dockyards,10,3
Industrialization,Who improved upon the steam engine produced by Newcomen?,James Watt,2,3
Nationalism,Why was Satyagraha organised in Champaran in 1916?,To oppose the plantation system,2,1
Industrialization,Who created the first cotton mill?,Richard Arkwright,5,1
Industrialization,Which city was known as finishing centre?,London,2,3
Print Culture,Protestant Reformation was a movement to reform Catholic Church?,Rome,5,1
Nationalism,The leader of the peasants in the Gudem Hills of Andhra was :,Alluri Sitaram Raju,10,3
Nationalism,Gandhi-Irwin Pact was signed on,11387,5,3
Rise of Europe,What did Napoleon do in the territory that was under his control?,set about introducing many reforms,5,3
Nationalism,Mahatma Gandhi reached Dandi on _______ 1930.,44657,2,2
Print Culture,What was the result of the invention of the printing press?,Printing reduced the cost of books,5,2
Print Culture,Are the places where people gathered to drink alcohol.,Taverns,10,2
Print Culture,Martin Luther wrote Theses criticising the practices and rituals of the?,Roman Catholic Church,10,2
Global world,The loss of _______ destroyed African livelihoods.,Cattle,5,3
Nationalism,Simon Commission arrived in India in ____,1928,10,3
Rise of Europe,Which countries did the French armies move into?,Holland Belgium Switzerland and much of Italy,5,2
Industrialization,Who is a stapler?,Person who sorts wool according to its fibre,2,2
Print Culture,Which problem has been raised in Gulamgiri?,The injustices of caste system,5,1
Rise of Europe,What was the purpose of the Jacobin clubs?,to hold activities and campaigns,2,1
Nationalism,Who was the author of the book Hind Swaraj (1909)?,Mahatma Gandhi,10,3
Print Culture,______ is a Metal frame in which types are laid and the text composed.,Galley,10,3
Global world,One of the oldest livestock markets in ________ was at Smithfield.,London,5,2
Industrialization,When there is plenty of labour; wages are low. (True/False),TRUE,10,2
Rise of Europe,What type of an administrative system was set up in France?,Centralised,10,1
Nationalism,Mahatma Gandhi returned to India in _____,44576,2,1
Print Culture,Printing press was developed in the 1430s in Strasbourg located in,Germany,5,3
Print Culture,By the early fifteenth century woodblocks were being widely used in Europe?,to print textiles,5,3
Industrialization,The yam produced in Indian industries was exported to,China,10,3
Industrialization,Manchester in England was well-known for,textile production,5,1
Nationalism,Where did the brutal Jallianwala Massacre j take place?,Amritsar,10,3
Global world,Which country passed the Corn Laws to restrict the import of corn?,Great Britain,10,2
Global world,Many expeditions set off in search of El Dorado; the fabled city of ,Gold,10,2
Nationalism,Who founded the Depressed Classes Association in 1930?,Dr B.R. Ambedkar,2,2
Global world,10000000 people died in Ireland between 1845-1849 due to,Potato famine,10,1
Global world,From ancient times travellers travel long distances in search of,Knowledge,10,3
Nationalism,Who formed the Swaraj Party within the Congress?, C.R. Das and Motilal Nehru,5,2
Industrialization,______ was a mechanical device used for weaving.,Fly Shuttle,2,1
Industrialization,Guilds were associations of ____,Traders,2,3
Rise of Europe, What was the new name of the Estates General?,National Assembly,10,1
Industrialization,Name the most dynamic industry in Britain.,Cotton and Metal industries,5,1
Nationalism,The Simon Commission was boycotted because,There was no Indian Member in the Commission.,2,1
Industrialization,Why did the weavers suffer from a problem of raw cotton?,Raw cotton exports increased.,5,1
Global world,The First World War was fought mainly in,Europe,2,2
Print Culture,Was it easy to read from Manuscripts?,FALSE,5,2
Print Culture,Vellum was a parchment made from the _____ of animals.,Skin,2,1
Global world,Who adopted the concept of assembly line to manufacture automobiles?,Henry Ford,2,1
Nationalism,Who set up the Oudh Kisan Sabha?,Jawahar Lai Nehru and Baba Ramchandra,10,1
Print Culture,Marco Polo brought this knowledge back with him to ________.,Italy,5,2
Nationalism,The Non-cooperation Khilafat Movement began in,44582,2,2
Rise of Europe,By whom was the Estates General elected?,active citizens,5,2
Industrialization,Coarser was produced in many countries but finer varieties came from?,India,10,3
Print Culture,The oldest book which was printed in AD 868 is?,Japanese,10,1
Industrialization,What made workers become hostile to the Spinning Jenny?,It had reduced the demand for labour.,5,1
Global world,In which country did the Great Depression start?,USA,2,2
Print Culture,Who from China introduced hand-printing technology into Japan?,Buddhist Missionaries,5,1
Rise of Europe,How many colours did the new French flag have?,tricolor,5,1
Rise of Europe,When did the French Revolution start?,1769,5,2
Print Culture,What became the hub of the new print culture?,Shanghai,5,2
Industrialization,Who devised the Spinning Jenny?,James Hargreaves,2,2
Global world,Which of the following did not take part in the First World War?,Portugal,10,2
Print Culture,The Bengal Gazette was edited by,James Augustus Hickey,5,3
Industrialization,Where was the first cotton mill established? ,Bombay,2,1
Nationalism,Khilafat Committee was formed in 1919 in the city of,Bombay,2,1
Print Culture,The earliest kind of print technology was developed in?,China,5,1
Global world,Who worked in American plantations during the 18th century:,Slaves captured from Africa,10,1
Nationalism,Who was the writer of the book Hind Swaraj?,Mahatma Gandhi,5,2
Industrialization,Name the first industrial country in the world:,Japan,5,2
Industrialization,Why did the weavers suffer from a problem of raw cotton?,Raw cotton exports increased,10,1
Industrialization,Why were workers in England hostile to machines and new technology?,feared that they would lose their jobs,5,1
